"證券代號","證券名稱.x","收盤價.x","證券名稱.y","收盤價.y"
"6283","淳安",31.2,"淳安",23.9
"6285","啟碁",76.3,"啟碁",63.6
"6289","華上",0.81,"華上",1.75
"6405","悅城",15,"悅城",14.65
"6409","旭隼",706,"旭隼",850
"6412","群電",62.9,"群電",67.5
"6414","樺漢",257,"樺漢",263
"6415","矽力-KY",1025,"矽力-KY",1815
"6416","瑞祺電通",97.5,"瑞祺電通",145
"6431","光麗-KY",28.6,"光麗-KY",23.95
"6442","光聖",37.7,"光聖",36.1
"6443","元晶",7.82,"元晶",7.15
"6449","鈺邦",39.5,"鈺邦",30.8
"6451","訊芯-KY",162.5,"訊芯-KY",105
"6456","GIS-KY",114,"GIS-KY",111
"6477","安集",23.65,"安集",22.95
"6525","捷敏-KY",67.9,"捷敏-KY",63.8
"6531","愛普",87.8,"愛普",375
"6533","晶心科",133.5,"晶心科",121.5
"6552","易華電",81.9,"易華電",62.3
"6558","興能高",73.2,"興能高",41.5
"6573","虹揚-KY",25.5,"虹揚-KY",19.25
"6579","研揚",72.7,"研揚",67.6
"6591","動力-KY",62,"動力-KY",46.7
"6668","中揚光",93,"中揚光",60.3
"6669","緯穎",630,"緯穎",830
"6672","騰輝電子-KY",96.6,"騰輝電子-KY",88.7
"6674","鋐寶科技",29.05,"鋐寶科技",25.25
"6698","旭暉應材",91.9,"旭暉應材",50.8
"6706","惠特",129.5,"惠特",162
"6715","嘉基",93.8,"嘉基",144.5
"8011","台通",18.2,"台通",18
"8016","矽創",170,"矽創",153
"8021","尖點",22.75,"尖點",21.7
"8028","昇陽半導體",74.9,"昇陽半導體",56.7
"8039","台虹",50.7,"台虹",47.15
"8046","南電",47.9,"南電",69.6
"8070","長華",178.5,"長華",164.5
"8072","陞泰",20.35,"陞泰",29.5
"8081","致新",128.5,"致新",156.5
"8101","華冠",6.8,"華冠",3.8
"8103","瀚荃",27.05,"瀚荃",28.35
"8104","錸寶",57,"錸寶",45.3
"8105","凌巨",14.35,"凌巨",9.75
"8110","華東",11.75,"華東",9.97
"8112","至上",30.4,"至上",29.6
"8114","振樺電",107.5,"振樺電",85.2
"8131","福懋科",37.6,"福懋科",37.45
"8150","南茂",34.55,"南茂",34.8
"8163","達方",44.05,"達方",37.7
"8201","無敵",11.15,"無敵",9.27
"8210","勤誠",86.5,"勤誠",97.1
"8213","志超",36.75,"志超",34.25
"8215","明基材",18.95,"明基材",18.35
"8249","菱光",23.6,"菱光",18.4
"8261","富鼎",30.1,"富鼎",28.15
"8271","宇瞻",42.75,"宇瞻",47.55
"9912","偉聯",8.48,"偉聯",6.89
"2059",NA,NA,"川湖",333
"3543",NA,NA,"州巧",17.25
