"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"2426","鼎元","1,760,968","818","24,674,897","14.35","14.35","13.85","13.95","-","0.30","13.95","8","14.00","88","",
"2427","三商電","338,072","83","3,479,048","10.30","10.35","10.25","10.30","+","0.05","10.25","114","10.30","102","16.89",
"2428","興勤","243,368","203","22,054,902","91.00","91.40","90.00","90.30","+","0.10","90.20","5","90.40","5","10.85",
"2429","銘旺科","98,200","61","1,934,290","20.00","20.00","19.40","19.55","-","0.20","19.55","8","19.80","5","",
"2430","燦坤","1,053,200","389","19,347,179","18.25","18.60","18.25","18.50","X","0.00","18.45","3","18.50","19","13.41",
"2431","聯昌","522,255","142","4,440,827","8.46","8.60","8.46","8.52","+","0.02","8.50","2","8.52","1","16.08",
"2433","互盛電","75,463","68","4,107,965","54.20","54.60","54.20","54.60","+","0.40","54.50","1","54.60","2","13.35",
"2434","統懋","25,348","19","153,071","6.57","6.57","6.00","6.01","+","0.01","6.00","23","6.32","1","",
"2436","偉詮電","2,703,322","1,308","75,343,622","28.25","28.45","27.45","27.45","-","0.65","27.40","46","27.45","19","57.19",
"2438","翔耀","77,789","57","511,998","6.75","6.75","6.50","6.51","-","0.26","6.51","7","6.54","1","130.20",
"2439","美律","3,696,839","2,341","510,419,860","137.50","140.50","136.50","136.50","-","0.50","136.50","4","137.00","14","13.06",
"2440","太空梭","77,999","32","646,969","8.30","8.34","8.28","8.28"," ","0.00","8.26","2","8.34","1","",
"2441","超豐","749,758","351","34,420,479","46.05","46.10","45.65","45.95","-","0.05","45.95","31","46.00","42","12.45",
"2442","新美齊","2,841,441","640","23,762,554","8.28","8.49","8.19","8.23","-","0.03","8.22","23","8.23","1","",
"2444","兆勁","706,734","279","10,414,812","14.70","14.90","14.55","14.90","+","0.20","14.90","41","14.95","33","248.33",
"2448","晶電","84,467,067","33,060","3,320,051,942","40.90","40.90","37.30","37.45","X","0.00","37.45","101","37.50","126","",
"2449","京元電子","21,025,444","8,233","693,591,676","32.90","33.20","32.70","33.20","+","0.45","33.15","7","33.20","358","11.41",
"2450","神腦","204,255","95","6,255,382","30.30","30.90","30.25","30.90","+","0.60","30.90","154","30.95","6","18.28",
"2451","創見","2,373,801","1,405","171,279,272","72.90","73.10","71.60","71.60","-","1.00","71.50","71","71.60","51","16.85",
"2453","凌群","8,169,010","3,723","159,750,532","18.50","20.15","18.50","18.85","+","0.50","18.85","8","18.90","8","15.45",
"2454","聯發科","22,189,522","15,535","11,989,751,968","520.00","560.00","518.00","546.00","+","33.00","546.00","4","547.00","9","34.08",
"2455","全新","2,619,469","1,977","237,961,410","89.70","91.70","89.60","90.00","+","0.40","90.00","75","90.10","1","29.51",
"2456","奇力新","3,070,228","2,084","290,654,546","95.00","95.50","93.60","93.60","-","0.60","93.60","6","94.00","3","22.02",
"2457","飛宏","868,428","296","7,030,264","8.16","8.17","8.02","8.03","-","0.04","8.02","7","8.03","6","",
"2458","義隆","14,225,132","7,657","1,779,376,173","123.00","126.50","122.00","126.50","+","4.50","126.00","18","126.50","108","17.09",
"2459","敦吉","99,658","89","4,099,840","41.25","41.25","41.05","41.15","-","0.10","41.10","11","41.15","1","9.73",
"2460","建通","64,151","45","566,078","8.90","8.98","8.74","8.76","+","0.02","8.76","1","8.78","1","",
"2461","光群雷","338,001","155","4,999,564","14.80","14.95","14.65","14.65","-","0.15","14.65","52","14.75","12","",
"2462","良得電","62,604","45","1,633,380","26.30","26.30","25.95","25.95","-","0.40","25.95","2","26.10","6","41.19",
"2464","盟立","1,585,148","844","61,746,033","38.60","39.15","38.60","38.90","+","0.35","38.90","23","39.00","15","12.47",
"2465","麗臺","125,350","60","1,176,713","9.46","9.46","9.30","9.40","-","0.07","9.38","1","9.40","2","",
"2466","冠西電","92,000","52","2,684,300","29.20","29.45","28.85","29.35","+","0.05","29.25","1","29.40","2","163.06",
"2467","志聖","998,245","480","28,110,883","28.40","28.40","28.05","28.05","-","0.20","28.05","29","28.10","17","13.55",
"2468","華經","1,223,124","527","19,828,588","16.10","16.90","15.90","16.05","+","0.20","16.00","2","16.05","4","21.12",
"2471","資通","1,458,233","857","33,993,521","23.05","23.85","22.85","23.35","+","0.65","23.20","3","23.35","3","14.07",
"2472","立隆電","1,530,204","982","67,631,314","44.00","44.70","43.60","43.70","-","0.10","43.70","12","43.75","3","12.82",
"2474","可成","4,747,896","2,521","1,056,430,751","224.00","224.00","221.50","222.50","-","0.50","222.50","19","223.00","65","12.64",
"2476","鉅祥","238,678","148","4,787,342","20.15","20.15","20.00","20.05","-","0.10","20.05","7","20.10","7","16.57",
"2477","美隆電","51,150","33","1,113,319","21.80","21.85","21.60","21.80","+","0.20","21.80","4","21.85","1","12.39",
"2478","大毅","7,604,623","4,841","612,324,148","80.50","81.90","79.00","79.00","-","0.50","79.00","19","79.20","2","21.58",
"2480","敦陽科","685,866","516","47,491,821","68.80","69.90","68.80","69.00","+","0.40","69.00","18","69.10","3","16.16",
"2481","強茂","12,613,181","4,994","367,218,801","28.95","29.65","28.30","28.30","-","0.50","28.30","150","28.40","59","18.99",
"2482","連宇","166,800","97","1,964,929","11.80","11.85","11.70","11.80","+","0.05","11.75","3","11.80","4","14.94",
"2483","百容","54,100","45","1,041,275","19.25","19.30","19.20","19.30"," ","0.00","19.25","3","19.30","3","13.13",
"2484","希華","467,088","252","9,572,244","20.65","20.65","20.40","20.40","-","0.15","20.40","10","20.45","2","25.50",
"2485","兆赫","13,559,637","5,513","270,695,906","19.95","20.70","19.20","20.05","+","0.20","20.00","30","20.05","15","",
"2486","一詮","479,657","165","3,506,146","7.35","7.35","7.25","7.30","+","0.01","7.25","9","7.30","30","",
"2488","漢平","74,800","62","2,162,809","28.85","29.00","28.80","28.90","-","0.05","28.90","6","29.00","21","11.51",
"2489","瑞軒","7,700,570","2,359","63,535,730","8.22","8.44","8.11","8.12","-","0.02","8.12","47","8.14","34","",
"2491","吉祥全","91,019","39","713,443","7.80","8.00","7.74","7.74","-","0.06","7.74","1","7.77","1","1.42",
"2492","華新科","8,538,312","5,546","1,616,089,802","192.00","193.00","187.00","187.00","-","3.00","187.00","219","187.50","28","18.16",
"2493","揚博","1,195,390","512","42,092,708","35.00","35.50","34.80","35.35","+","0.40","35.30","9","35.35","55","14.20",
"2495","普安","1,070,998","420","14,001,470","13.00","13.35","12.85","13.35","+","0.45","13.35","145","13.40","85","",
"2498","宏達電","20,757,308","4,691","635,581,646","31.00","31.20","30.30","30.30","-","0.50","30.30","15","30.35","43","",
"3002","歐格","466,000","153","5,263,750","11.45","11.50","11.15","11.30","-","0.05","11.30","7","11.35","8","28.97",
"3003","健和興","584,300","408","24,845,304","43.00","43.00","42.15","42.35","+","0.45","42.35","21","42.45","7","14.31",
"3005","神基","6,422,017","3,396","271,535,820","43.15","43.40","41.65","41.95","-","1.20","41.95","11","42.00","6","11.82",
"3006","晶豪科","2,444,607","1,492","94,907,206","38.70","39.15","38.60","38.65","+","0.15","38.65","4","38.70","2","14.70",
"3008","大立光","887,969","955","3,603,030,710","4,060.00","4,100.00","4,025.00","4,055.00","+","5.00","4,050.00","11","4,055.00","3","18.17",
"3010","華立","628,200","346","35,214,180","56.40","56.70","55.70","55.70","-","0.80","55.70","59","55.80","2","8.93",
"3011","今皓","165,000","64","951,320","5.77","5.86","5.71","5.72","-","0.05","5.72","1","5.76","1","",
"3013","晟銘電","200,000","89","2,568,550","12.95","13.00","12.75","12.85","-","0.05","12.80","1","12.85","1","14.28",
"3014","聯陽","3,881,187","2,256","242,156,533","62.00","63.30","61.60","61.60","+","0.10","61.60","73","62.00","1","16.97",
